id,name,soil_moisture,temperature,recording_taken,last_watered,botanist_name,botanist_email,botanist_phone,latitude,longitude,town,country_code,continent,city
1,Venus Flytrap,99.98,12.07,2024-04-17 13:54:51,"Wed, 17 Apr 2024 13:54:32 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,33.95,-118.04,South Whittier,US,America,Los_Angeles
2,Corpse Flower,22.26,18.88,2024-04-17 13:54:50,"Tue, 16 Apr 2024 14:10:54 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,7.66,4.92,Efon-Alaaye,NG,Africa,Lagos
3,Rafflesia Arnoldii,20.2,10.07,2024-04-17 13:54:49,"Tue, 16 Apr 2024 14:50:16 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-19.33,-41.26,Resplendor,BR,America,Sao_Paulo
4,Black Bat Flower,97.71,23.22,2024-04-17 13:54:49,"Wed, 17 Apr 2024 13:16:25 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,13.7,-89.11,Ilopango,SV,America,El_Salvador
5,Pitcher Plant,21.75,11.25,2024-04-17 13:54:50,"Tue, 16 Apr 2024 14:56:18 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,22.89,84.14,Jashpurnagar,IN,Asia,Kolkata
6,Wollemi Pine,98.93,11.01,2024-04-17 13:54:52,"Wed, 17 Apr 2024 13:35:35 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,43.87,-79.27,Markham,CA,America,Toronto
8,Bird Of Paradise,98.1,11.61,2024-04-17 13:54:51,"Wed, 17 Apr 2024 13:23:01 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,5.27,-3.6,Bonoua,CI,Africa,Abidjan
9,Cactus,17.56,10.64,2024-04-17 13:54:50,"Tue, 16 Apr 2024 14:12:43 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,50.98,11.33,Weimar,DE,Europe,Berlin
10,Dragon Tree,97.11,13.02,2024-04-17 13:54:49,"Wed, 17 Apr 2024 13:04:57 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,43.51,16.44,Split,HR,Europe,Zagreb
11,Asclepias Curassavica,99.02,9.52,2024-04-17 13:54:51,"Wed, 17 Apr 2024 13:37:24 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,20.89,-156.47,Kahului,US,Pacific,Honolulu
